feature_set,n_features_raw,precision,recall,f1,roc_auc,random_seed,n_estimators,target
Все признаки,18,1.0,1.0,1.0,0.9999999999999999,42,300,label_bin
Только структурные признаки,3,0.7109309004899477,0.6687857596948507,0.6892146425354189,0.721844912594604,42,300,label_bin
Структурные + временные признаки,5,0.7643717728055077,0.7058169103623649,0.733928276317964,0.7856720305609652,42,300,label_bin
Структурные + временные + поведенческие признаки,5,0.7643717728055077,0.7058169103623649,0.733928276317964,0.7856721204546174,42,300,label_bin
Без контекстных признаков,15,1.0,1.0,1.0,1.0,42,300,label_bin
